Trial,StartTime,Duration,Frequency,dB_SPL
752,610.05575,0.1,6047.621,50
753,610.9515,0.1,377.976,50
754,611.6491,0.1,19200,50
755,612.5492,0.1,4800,50
756,613.3616,0.1,2400,50
757,614.1594,0.1,150,50
758,614.9482,0.1,1904.881,50
759,615.7624,0.1,476.22,50
760,616.6514,0.1,188.988,50
761,617.56585,0.1,600,50
762,618.35155,0.1,7619.525,50
763,619.0539,0.1,3809.763,50
764,619.949,0.1,952.441,50
765,620.75515,0.1,9600,50
766,621.67255,0.1,15239.05,50
767,622.35005,0.1,12095.242,50
768,623.05185,0.1,1200,50
769,623.96195,0.1,238.11,50
770,624.84935,0.1,3023.811,50
771,625.7575,0.1,377.976,40
772,626.65665,0.1,238.11,40
773,627.3556,0.1,600,40
774,628.1495,0.1,188.988,40
775,629.0495,0.1,300,40
776,629.84975,0.1,1511.905,40
777,630.75985,0.1,150,40
778,631.4497,0.1,1904.881,40
779,632.35615,0.1,476.22,40
780,633.25715,0.1,3809.763,40
781,634.05665,0.1,952.441,40
782,634.85005,0.1,7619.525,40
783,635.55085,0.1,19200,40
784,636.46665,0.1,6047.621,40
785,637.15305,0.1,12095.242,40
786,637.95215,0.1,2400,40
787,638.86215,0.1,1200,40
788,639.65045,0.1,4800,40
789,640.45055,0.1,15239.05,40
790,641.2667,0.1,9600,40
791,641.95175,0.1,755.953,40
792,642.85065,0.1,3023.811,40
793,643.7513,0.1,150,70
794,644.55825,0.1,300,70
795,645.4503,0.1,7619.525,70
796,646.35035,0.1,1904.881,70
797,647.1611,0.1,1200,70
798,647.8543,0.1,2400,70
799,648.75115,0.1,952.441,70
800,649.45455,0.1,9600,70
801,650.2513,0.1,377.976,70
802,650.9561,0.1,1511.905,70
803,651.7568,0.1,12095.242,70
804,652.65195,0.1,238.11,70
805,653.3644,0.1,19200,70
806,654.2525,0.1,755.953,70
807,655.15765,0.1,600,70
808,655.95375,0.1,4800,70
809,656.6525,0.1,3809.763,70
810,657.36545,0.1,188.988,70
811,658.252,0.1,3023.811,70
812,658.95785,0.1,15239.05,70
813,659.7676,0.1,6047.621,70
814,660.6516,0.1,476.22,70
815,661.55465,0.1,1511.905,60
816,662.4585,0.1,3023.811,60
817,663.2541,0.1,7619.525,60
818,663.95515,0.1,238.11,60
819,664.8528,0.1,1904.881,60
820,665.76095,0.1,600,60
821,666.5562,0.1,12095.242,60
822,667.2529,0.1,952.441,60
823,668.05215,0.1,150,60
